"","id","cq","xmast","dim","lact","rpro","dnbr","x8"
"254",18314,0,0,171,4,"PREG","-",NA
"255",18328,3,0,244,4,"PREG","-",NA
"256",18329,3,0,41,4,"OK/OPEN","-",NA
"257",18335,2,0,151,4,"PREG","-",NA
"258",18336,2,0,77,4,"BRED","-",NA
"259",18343,3,0,5,4,"OK/OPEN","-",NA
"260",18354,3,0,83,4,"NO BRED","UDDER",NA
"261",18364,2,0,271,4,"PREG","-",NA
"262",18376,2,0,167,4,"PREG","-",NA
"263",18378,1,2,280,4,"PREG","-",NA
"264",18387,2,0,57,4,"OK/OPEN","-",NA
"265",18388,2,0,195,4,"BRED","-",NA
"266",18392,2,0,174,4,"PREG","-",NA
"267",18396,3,0,148,4,"PREG","-",NA
"268",18407,2,0,238,3,"NO BRED","XBRD",NA
"269",18410,2,0,88,4,"NO BRED","UDDER/3T",NA
"270",18417,2,0,310,3,"DRY","-",NA
"271",18436,2,0,147,4,"PREG","-",NA
"272",18438,3,0,103,4,"BRED","-",NA
"273",18440,2,0,22,4,"OK/OPEN","-",NA
"274",18441,1,0,208,4,"PREG","-",NA
"275",18445,3,0,102,4,"BRED","-",NA
"276",18450,2,0,51,4,"OK/OPEN","-",NA
"277",18459,1,0,547,3,"NO BRED",NA,NA
"278",18462,3,0,76,4,"BRED","-",NA
"279",18472,3,0,381,3,"NO BRED","PROD",NA
"280",18473,1,0,567,3,"NO BRED","XBRD",NA
"281",18486,2,0,197,4,"NO BRED","HEALTH",NA
"282",18488,3,0,177,4,"PREG","-",NA
"283",18498,2,0,53,4,"OK/OPEN","-",NA
"284",18500,2,0,135,4,"BRED","-",NA
"285",18502,2,0,24,4,"OK/OPEN","-",NA
"286",18503,2,0,201,4,"PREG","-",NA
"287",18515,2,0,151,4,"BRED","-",NA
"288",18518,3,0,127,4,"BRED","-",NA
"289",18519,2,0,125,4,"BRED","-",NA
"290",18520,1,0,49,4,"OK/OPEN","-",NA
"291",18529,3,0,431,3,"DRY","-",NA
"292",18531,3,0,13,4,"OK/OPEN","-",NA
"293",18532,3,0,116,4,"BRED","-",NA
"294",18537,3,0,161,4,"BRED","-",NA
"295",18549,2,0,165,4,"PREG","-",NA
"296",18554,3,0,133,4,"PREG","-",NA
"297",18560,3,0,79,4,"BRED","-",NA
"298",18563,3,0,194,4,"PREG","-",NA
"299",18565,2,0,171,4,"PREG","-",NA
"300",18566,3,0,47,4,"OK/OPEN","-",NA
"301",18567,3,0,76,4,"NO BRED","TEATPLAC",NA
"302",18572,3,0,130,4,"PREG","-",NA
"303",18575,3,0,195,4,"PREG","-",NA
"304",18577,3,0,12,4,"OK/OPEN","-",NA
